TIME,Cp:1
16.1,0.00638
16.12,0.00631654
16.14,0.00625371
16.16,0.0061915
16.18,0.00612992
16.2,0.00606894
16.22,0.00600857
16.24,0.0059488
16.26,0.00588963
16.28,0.00583104
16.3,0.00577304
16.32,0.00571561
16.34,0.00565876
16.36,0.00560247
16.38,0.00554674
16.4,0.00549156
16.42,0.00543694
16.44,0.00538285
16.46,0.00532931
16.48,0.00527629
16.5,0.00522381
16.52,0.00517184
16.54,0.00512039
16.56,0.00506946
16.58,0.00501903
16.6,0.0049691
16.62,0.00491967
16.64,0.00487073
16.66,0.00482228
16.68,0.00477431
16.7,0.00472681
16.72,0.00467979
16.74,0.00463324
16.76,0.00458715
16.78,0.00454151
16.8,0.00449634
16.82,0.00445161
16.84,0.00440732
16.86,0.00436348
16.88,0.00432007
16.9,0.00427709
16.92,0.00423454
16.94,0.00419242
16.96,0.00415071
16.98,0.00410942
17,0.00406854
17.02,0.00402806
17.04,0.00398799
17.06,0.00394832
17.08,0.00390904
17.1,0.00387015
17.12,0.00383165
17.14,0.00379353
17.16,0.00375579
17.18,0.00371843
17.2,0.00368144
17.22,0.00364481
17.24,0.00360855
17.26,0.00357265
17.28,0.00353711
17.3,0.00350192
17.32,0.00346708
17.34,0.00343259
17.36,0.00339844
17.38,0.00336463
17.4,0.00333116
17.42,0.00329802
17.44,0.00326521
17.46,0.00323273
17.48,0.00320057
17.5,0.00316872
17.52,0.0031372
17.54,0.00310599
17.56,0.00307509
17.58,0.0030445
17.6,0.00301421
17.62,0.00298422
17.64,0.00295453
17.66,0.00292514
17.68,0.00289604
17.7,0.00286722
17.72,0.0028387
17.74,0.00281046
17.76,0.0027825
17.78,0.00275481
17.8,0.00272741
17.82,0.00270027
17.84,0.00267341
17.86,0.00264681
17.88,0.00262048
17.9,0.00259441
17.92,0.0025686
17.94,0.00254304
17.96,0.00251774
17.98,0.00249269
18,0.00246789
18.02,0.00244334
18.04,0.00241903
18.06,0.00239496
18.08,0.00237114
18.1,0.00234755
18.12,0.00232419
18.14,0.00230107
18.16,0.00227817
18.18,0.00225551
18.2,0.00223307
18.22,0.00221085
18.24,0.00218885
18.26,0.00216708
18.28,0.00214552
18.3,0.00212417
18.32,0.00210304
18.34,0.00208211
18.36,0.0020614
18.38,0.00204089
18.4,0.00202058
18.42,0.00200048
18.44,0.00198058
18.46,0.00196087
18.48,0.00194136
18.5,0.00192205
18.52,0.00190293
18.54,0.00188399
18.56,0.00186525
18.58,0.00184669
18.6,0.00182832
18.62,0.00181013
18.64,0.00179212
18.66,0.00177429
18.68,0.00175663
18.7,0.00173916
18.72,0.00172185
18.74,0.00170472
18.76,0.00168776
18.78,0.00167097
18.8,0.00165434
18.82,0.00163788
18.84,0.00162159
18.86,0.00160546
18.88,0.00158948
18.9,0.00157367
18.92,0.00155801
18.94,0.00154251
18.96,0.00152716
18.98,0.00151197
19,0.00149692
19.02,0.00148203
19.04,0.00146729
19.06,0.00145269
19.08,0.00143823
19.1,0.00142392
19.12,0.00140976
19.14,0.00139573
19.16,0.00138184
19.18,0.00136809
19.2,0.00135448
19.22,0.00134101
19.24,0.00132766
19.26,0.00131445
19.28,0.00130138
19.3,0.00128843
19.32,0.00127561
19.34,0.00126292
19.36,0.00125035
19.38,0.00123791
19.4,0.00122559
19.42,0.0012134
19.44,0.00120133
19.46,0.00118938
19.48,0.00117754
19.5,0.00116583
19.52,0.00115423
19.54,0.00114274
19.56,0.00113137
19.58,0.00112012
19.6,0.00110897
19.62,0.00109794
19.64,0.00108701
19.66,0.0010762
19.68,0.00106549
19.7,0.00105489
19.72,0.00104439
19.74,0.001034
19.76,0.00102371
19.78,0.00101353
19.8,0.00100344
19.82,0.00099346
19.84,0.00098357
19.86,0.00097379
19.88,0.0009641
19.9,0.00095451
19.92,0.00094501
19.94,0.00093561
19.96,0.0009263
19.98,0.00091708
20,0.00090796
20.02,0.00089892
20.04,0.00088998
20.06,0.00088112
20.08,0.00087236
20.1,0.00086368
20.12,0.00085508
20.14,0.00084658
20.16,0.00083815
20.18,0.00082981
20.2,0.00082156
20.22,0.00081338
20.24,0.00080529
20.26,0.00079728
20.28,0.00078934
20.3,0.00078149
20.32,0.00077372
20.34,0.00076602
20.36,0.0007584
20.38,0.00075085
20.4,0.00074338
20.42,0.00073598
20.44,0.00072866
20.46,0.00072141
20.48,0.00071423
20.5,0.00070713
20.52,0.00070009
20.54,0.00069312
20.56,0.00068623
20.58,0.0006794
20.6,0.00067264
20.62,0.00066595
20.64,0.00065932
20.66,0.00065276
20.68,0.00064627
20.7,0.00063984
20.72,0.00063347
20.74,0.00062717
20.76,0.00062093
20.78,0.00061475
20.8,0.00060863
20.82,0.00060258
20.84,0.00059658
20.86,0.00059064
20.88,0.00058477
20.9,0.00057895
20.92,0.00057319
20.94,0.00056749
20.96,0.00056184
20.98,0.00055625
21,0.00055071
21.02,0.00054523
21.04,0.00053981
21.06,0.00053444
21.08,0.00052912
21.1,0.00052386
21.12,0.00051864
21.14,0.00051348
21.16,0.00050837
21.18,0.00050332
21.2,0.00049831
21.22,0.00049335
21.24,0.00048844
21.26,0.00048358
21.28,0.00047877
21.3,0.00047401
21.32,0.00046929
21.34,0.00046462
21.36,0.00046
21.38,0.00045542
21.4,0.00045089
21.42,0.0004464
21.44,0.00044196
21.46,0.00043756
21.48,0.00043321
21.5,0.0004289
21.52,0.00042463
21.54,0.00042041
21.56,0.00041622
21.58,0.00041208
21.6,0.00040798
21.62,0.00040392
21.64,0.0003999
21.66,0.00039592
21.68,0.00039198
21.7,0.00038808
21.72,0.00038422
21.74,0.0003804
21.76,0.00037662
21.78,0.00037287
21.8,0.00036916
21.82,0.00036548
21.84,0.00036185
21.86,0.00035825
21.88,0.00035468
21.9,0.00035115
21.92,0.00034766
21.94,0.0003442
21.96,0.00034078
21.98,0.00033739
22,0.00033403
22.02,0.0003307
22.04,0.00032741
22.06,0.00032416
22.08,0.00032093
22.1,0.00031774
22.12,0.00031458
22.14,0.00031145
22.16,0.00030835
22.18,0.00030528
22.2,0.00030224
22.22,0.00029923
22.24,0.00029626
22.26,0.00029331
22.28,0.00029039
22.3,0.0002875
22.32,0.00028464
22.34,0.00028181
22.36,0.000279
22.38,0.00027623
22.4,0.00027348
22.42,0.00027076
22.44,0.00026806
22.46,0.0002654
22.48,0.00026276
22.5,0.00026014
22.52,0.00025755
22.54,0.00025499
22.56,0.00025245
22.58,0.00024994
22.6,0.00024746
22.62,0.00024499
22.64,0.00024256
22.66,0.00024014
22.68,0.00023775
22.7,0.00023539
22.72,0.00023304
22.74,0.00023073
22.76,0.00022843
22.78,0.00022616
22.8,0.00022391
22.82,0.00022168
22.84,0.00021947
22.86,0.00021729
22.88,0.00021513
22.9,0.00021299
22.92,0.00021087
22.94,0.00020877
22.96,0.00020669
22.98,0.00020464
23,0.0002026
23.02,0.00020058
23.04,0.00019859
23.06,0.00019661
23.08,0.00019466
23.1,0.00019272
23.12,0.0001908
23.14,0.0001889
23.16,0.00018702
23.18,0.00018516
23.2,0.00018332
23.22,0.0001815
23.24,0.00017969
23.26,0.0001779
23.28,0.00017613
23.3,0.00017438
23.32,0.00017264
23.34,0.00017093
23.36,0.00016923
23.38,0.00016754
23.4,0.00016588
23.42,0.00016422
23.44,0.00016259
23.46,0.00016097
23.48,0.00015937
23.5,0.00015779
23.52,0.00015622
23.54,0.00015466
23.56,0.00015312
23.58,0.0001516
23.6,0.00015009
23.62,0.0001486
23.64,0.00014712
23.66,0.00014565
23.68,0.0001442
23.7,0.00014277
23.72,0.00014135
23.74,0.00013994
23.76,0.00013855
23.78,0.00013717
23.8,0.00013581
23.82,0.00013446
23.84,0.00013312
23.86,0.00013179
23.88,0.00013048
23.9,0.00012918
23.92,0.0001279
23.94,0.00012663
23.96,0.00012537
23.98,0.00012412
24,0.00012288
