TIME,Cp[0]:1,Cp[1]:1,Cp[2]:1,Cp[3]:1,Cp[4]:1,Cp[5]:1,Cp[6]:1,Cp[7]:1,Cp[8]:1,Cp[9]:1,Cp[10]:1,Cp[11]:1,Cp[12]:1,Cp[13]:1,Cp[14]:1,Cp[15]:1,Cp[16]:1,Cp[17]:1,Cp[18]:1,Cp[19]:1,Cp[20]:1
5.38,1.30640106,1.4886075,1.29534101,0.99329726,1.39457293,1.27939158,1.17351392,1.17197344,1.09863693,1.30979351,1.1964623,1.22503209,1.29506015,1.37053667,1.09037692,1.44365928,1.42738309,1.07226524,1.32497426,1.34216052,1.15206491
5.4,1.24597214,1.24391852,1.30266826,1.13297224,1.38123455,1.28474055,1.22976926,1.41967043,1.36818376,1.25668007,1.00385629,1.39372644,1.39891995,1.26985339,1.32619918,1.47454658,1.18509224,1.38890332,1.25284325,1.37487611,1.43503518
5.42,1.20648701,1.20793163,1.13738638,1.13134753,1.27672686,1.14144157,1.21249334,1.24456229,1.25480456,1.27624143,1.10381769,1.28183405,1.21865023,1.40255093,1.43652696,1.38235385,1.25184374,1.0782426,1.49040208,1.21323179,1.46881566
5.44,1.3414736,1.21285663,1.26030223,1.20256666,1.22239092,1.20214681,1.15551431,1.20091957,1.25085496,1.67787549,1.18158828,1.22325507,1.37969989,1.50945901,1.12502273,1.21418745,1.29932517,1.44039612,1.35285972,1.05057217,1.2589076
5.46,1.27377007,1.3742668,1.01130594,1.14145436,1.09214082,1.27995136,1.15692929,1.04449841,1.20549934,0.96688699,1.18271953,1.28502282,1.19043735,1.20193505,1.21863589,1.12783183,1.12037152,0.9452609,1.3939594,1.26490943,1.11756776
5.48,1.15789315,1.18560629,1.37837903,1.21427305,1.09748238,1.07041091,1.28835078,1.29802454,1.42317393,1.13093162,1.19531701,1.03478038,1.37384554,1.27766078,1.07732247,1.28320804,1.10767194,1.39055274,1.15594097,1.15801095,1.24755087
5.5,1.12246824,1.24338403,1.26170805,1.2892059,1.3678276,1.13072941,1.33612643,1.08328608,1.3044896,1.07951,1.17015045,1.27941343,1.31389997,1.33877493,0.93536313,1.47136483,1.08329907,1.05704816,1.24724905,1.20358513,1.15330941
5.52,1.15061787,1.03713066,1.2446462,1.35661619,1.23267435,1.30354662,1.33801248,1.0789263,1.08215159,1.22074434,1.20909127,1.24254963,1.2474228,1.39944632,1.13962353,1.25484904,0.89540548,1.13132529,1.05433924,1.26945677,1.1668293
5.54,1.11039719,1.31316603,1.0215722,1.18854803,1.31177858,1.04175848,1.27850991,0.92065118,1.2289904,0.99659391,1.16351885,1.17941405,1.19434592,1.06864489,1.12434254,1.06105869,1.29754999,1.034192,1.09732916,1.11103405,1.31226697
5.56,1.14639716,1.42630578,1.15742715,1.32870328,1.11069703,1.00416269,1.16709554,0.90169161,1.09519928,1.24061241,1.08718669,1.21460124,1.12970858,1.3484051,1.3205091,1.11508749,1.23183869,1.19688162,1.34282862,1.09891147,1.10391576
5.58,0.85313098,1.06655076,1.04892162,1.26549376,1.14768361,1.29646099,0.99317884,1.35952737,1.22746919,1.19538733,0.77647658,1.11447157,1.03830479,1.18075864,1.0222068,1.22976122,1.22617074,1.10885431,1.14180379,1.10738231,1.04846963
